StationID,ActivityStartDate,ActivityStartTime/Time,secchi_units,secchi,source
LCR-05,7/9/2019,11:31:00 AM,m,0.9,DHEC
CW-033,10/22/2019,10:49:00 AM,m,0.5,DHEC
RL-19258,8/29/2019,2:40:00 AM,m,0.3,DHEC
CL-089,9/9/2019,10:33:00 AM,m,1.5,DHEC
LCR-01,7/25/2019,1:20:00 PM,m,0.6,DHEC
CW-057,10/15/2019,9:02:00 AM,m,0.7,DHEC
LCR-05F,8/20/2019,11:08:00 AM,m,0.65,DHEC
CW-057,12/10/2019,11:20:00 AM,m,1,DHEC
LCR-02,10/8/2019,11:34:00 AM,m,0.6,DHEC
LCR-05,8/20/2019,11:08:00 AM,m,0.65,DHEC
CW-016F,8/29/2019,11:42:00 AM,m,0.4,DHEC
CW-207B,10/8/2019,10:19:00 AM,m,0.75,DHEC
RL-19166,1/10/2019,12:45:00 PM,m,0.25,DHEC
CW-057,10/1/2019,9:28:00 AM,m,0.8,DHEC
CW-057,5/8/2019,3:08:00 PM,m,1.2,DHEC
RL-19254,8/15/2019,10:36:00 AM,m,0.4,DHEC
LCR-03,9/24/2019,1:13:00 PM,m,0.65,DHEC
CW-057F,8/20/2019,9:20:00 AM,m,0.82,DHEC
LCR-04,8/20/2019,10:32:00 AM,m,0.9,DHEC
CL-089,11/13/2019,10:54:00 AM,m,1,DHEC
RL-19254,3/27/2019,11:00:00 AM,m,0.6,DHEC
LCR-03,7/30/2019,1:43:00 PM,m,0.8,DHEC
LCR-01,8/20/2019,12:13:00 PM,m,0.53,DHEC
LCR-03,8/13/2019,2:26:00 PM,m,0.9,DHEC
CL-089,9/24/2019,9:45:00 AM,m,1.2,DHEC
RL-19258,5/8/2019,1:38:00 PM,m,0.6,DHEC
LCR-01,6/25/2019,2:00:00 PM,m,0.7,DHEC
CW-208,7/30/2019,2:58:00 PM,m,0.7,DHEC
RL-19254,2/21/2019,1:47:00 PM,m,0.4,DHEC
LCR-04,9/17/2019,11:48:00 AM,m,0.65,DHEC
CW-207B,7/15/2019,11:43:00 AM,m,1,DHEC
CW-174,10/22/2019,10:36:00 AM,m,0.7,DHEC
CW-231,8/15/2019,9:26:00 AM,m,0.6,DHEC
CW-057,9/17/2019,9:59:00 AM,m,0.85,DHEC
RL-19149,8/15/2019,10:45:00 AM,m,0.4,DHEC
RL-19258,7/2/2019,12:54:00 PM,m,1.5,DHEC
CW-016,5/8/2019,2:25:00 PM,m,0.9,DHEC
RL-19254,7/2/2019,11:22:00 AM,m,1.75,DHEC
LCR-04,7/25/2019,12:16:00 PM,m,0.8,DHEC
CW-016,12/10/2019,10:45:00 AM,m,1.5,DHEC
LCR-03,7/15/2019,2:30:00 PM,m,0.95,DHEC
LCR-02,7/30/2019,12:52:00 PM,m,0.5,DHEC
LCR-05,9/3/2019,10:34:00 AM,m,0.8,DHEC
RL-19258,2/21/2019,10:08:00 AM,m,0.3,DHEC
CW-208,10/8/2019,1:03:00 PM,m,0.6,DHEC
RL-19254,10/22/2019,11:14:00 AM,m,1,DHEC
CW-057,9/17/2019,1:50:00 PM,m,0.7,DHEC
CW-231,9/17/2019,9:36:00 AM,m,1,DHEC
CW-057,8/20/2019,9:20:00 AM,m,0.82,DHEC
CW-208,7/15/2019,3:51:00 PM,m,0.7,DHEC
RL-19166,11/13/2019,1:00:00 PM,m,0.75,DHEC
CW-033,5/8/2019,10:36:00 AM,m,0.3,DHEC
LCR-01,9/17/2019,12:31:00 PM,m,0.5,DHEC
CW-174,5/8/2019,10:19:00 AM,m,0.3,DHEC
CW-174,8/15/2019,10:06:00 AM,m,0.3,DHEC
CW-207,10/24/2019,11:25:00 AM,m,0.75,DHEC
LCR-02,8/27/2019,11:14:00 AM,m,0.44,DHEC
LCR-01,10/29/2019,11:04:00 AM,m,0.75,DHEC
LCR-02,8/13/2019,1:19:00 PM,m,0.6,DHEC
CW-231,7/2/2019,9:37:00 AM,m,1,DHEC
CW-033,2/21/2019,2:06:00 PM,m,0.4,DHEC
CW-207B,6/18/2019,12:05:00 PM,m,0.9,DHEC
CW-016F,12/10/2019,11:00:00 AM,m,0.8,DHEC
CW-207B,9/24/2019,10:45:00 AM,m,0.8,DHEC
RL-19149,12/10/2019,3:05:00 PM,m,1.1,DHEC
CW-016F,5/8/2019,2:47:00 PM,m,1,DHEC
LCR-05,7/25/2019,11:46:00 AM,m,0.4,DHEC
CW-016F,7/2/2019,2:04:00 PM,m,1.5,DHEC
CW-207,2/6/2019,12:06:00 PM,m,0.5,DHEC
RL-19149,9/17/2019,11:10:00 AM,m,0.9,DHEC
LCR-04,10/29/2019,10:02:00 AM,m,0.7,DHEC
RL-02319,12/2/2020,9:46:00 AM,m,0.3,DHEC
CW-207B,12/15/2020,11:08:00 AM,m,0.75,DHEC
CW-174,12/2/2020,9:37:00 AM,m,0.3,DHEC
CW-174,11/17/2020,9:46:00 AM,m,0.1,DHEC
CW-231,6/29/2020,12:38:00 PM,m,0.65,DHEC
CL-089,7/14/2020,10:03:00 AM,m,1,DHEC
RL-02319,3/25/2020,10:07:00 AM,m,0.4,DHEC
CW-231,4/22/2020,1:40:00 PM,m,0.5,DHEC
CW-207,2/19/2020,12:29:00 PM,m,0.25,DHEC
